show_id,title,type,director_name
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,Pablo Azorín Williams
s551,Fear Street Part 1: 1994,Movie,Leigh Janiak
s1037,Time Trap,Movie,Ben Foster
s1112,Wild Child,Movie,Nick Moore
s1137,Tersanjung the Movie,Movie,Hanung Bramantyo
s1421,"Crack: Cocaine, Corruption & Conspiracy",Movie,Stanley Nelson
s1559,Giving Voice,Movie,James D. Stern
s1681,TE3N,Movie,Ribhu Dasgupta
s2117,Meet the In-Laws,Movie,Niyi Akinmolayan
s2240,Sylvia,Movie,Daniel Oriahi
s2510,Tarek's Situation,Movie,Wael Ehsan
s2634,She Made Me a Criminal,Movie,Amr Arafa
s2716,Agneepath,Movie,Mukul Anand
s2764,Dragons: Rescue Riders: Hunt for the Golden Dragon,Movie,TJ Sullivan
s3677,The Milk System,Movie,Andreas Pichler
s4008,Jeff Dunham: Arguing with Myself,Movie,Manny Rodriguez
s4429,Christmas With A View,Movie,Justin G. Dyck
s4843,Outside In,Movie,Lynn Shelton
s5569,Pandora,Movie,Jung-woo Park
s5768,Harud,Movie,Aamir Bashir
s6022,6 Days,Movie,Toa Fraser
s6151,An American in Madras,Movie,Karan Bali
s6398,Cabin Fever,Movie,Travis Zariwny
s6625,Don Quixote: The Ingenious Gentleman of La Mancha,Movie,Mahin Ibrahim
s6738,Famous in Ahmedabad,Movie,Hardik Mehta
s6797,Freak Show,Movie,Trudie Styler
s7429,Maza Pati Karodpati,Movie,Sachin
s7445,Menorca,Movie,John Barnard
s7472,Mission Control: The Unsung Heroes of Apollo,Movie,David Fairhead
s7547,My Sister's Keeper,Movie,Nick Cassavetes
s7645,Oh My Ghost 3,Movie,Poj Arnon
s7833,Ranbhool,Movie,Girish Joshi
s7938,Sardaarji 2,Movie,Rohit Jugraj
s8277,The Devil Inside,Movie,William Brent Bell
s8567,The Wrong Babysitter,Movie,George Mendeluk
s8714,Welcome 2 Karachi,Movie,Ashish R. Mohan
s8789,You Carry Me,Movie,Ivona Juka
s138,Crocodile Dundee in Los Angeles,Movie,Simon Wincer
s420,Chhota Bheem: Bheem vs Aliens,Movie,Rajiv Chilaka
s817,The Interpreter,Movie,Sydney Pollack
s927,Au coeur des gangs,Movie,Vondie Curtis-Hall
s1505,QLIMAX THE SOURCE,Movie,Stijn Verlinde
s1613,Chef,Movie,Jon Favreau
s1893,A Go! Go! Cory Carson Halloween,Movie,Alex Woo
s1945,Mann,Movie,Indra Kumar
s2044,Villain,Movie,Philip Barantini
s2388,4th Republic,Movie,Ishaya Bako
s2495,Ben Platt Live from Radio City Music Hall,Movie,Alex Timbers
s3786,"Oh, Ramona!",Movie,Cristina Jacob
s4076,My Ex & Whys,Movie,Cathy Garcia-Molina
s4793,Chalte Chalte,Movie,Aziz Mirza
s5403,The Invisible Guest,Movie,Paulo Oriol
s5442,The Wishing Tree,Movie,Manika Sharma
s5575,One 2 Ka 4,Movie,Shashilal K. Nair
s5740,The African Doctor,Movie,Julien Rambaldi
s5931,Mission Blue,Movie,Robert Nixon
s6328,Black Snake Moan,Movie,Craig Brewer
s7147,Jugaad,Movie,Susannah Heath-Eves
s7366,Mac & Devin Go to High School,Movie,Dylan C. Brown
s7727,People You May Know,Movie,J.C. Falcón
s8075,Spy Kids,Movie,Robert Rodriguez
s8583,Thorne: Scaredy Cat,Movie,Benjamin Ross
s8739,Why Knot,Movie,Dhruv Dhawan
s178,The Guns of Navarone,Movie,J. Lee Thompson
s217,Shor In the City,Movie,Raj Nidimoru
s247,Man in Love,Movie,Yin Chen-hao
s580,Midnight Run,Movie,Martin Brest
s882,I Am All Girls,Movie,Donovan Marsh
s887,The Mystic River,TV Show,Uzodinma Okpechi
s925,Aliens Stole My Body,Movie,Sean McNamara
s945,S.M.A.R.T Chase,Movie,Charles Martin
s1657,Hillbilly Elegy,Movie,Ron Howard
s2721,Dostana,Movie,Tarun Mansukhani
s2845,Lil Peep: Everybody’s Everything,Movie,Ramez Silyan
s2920,Dragon Quest Your Story,Movie,Ryuichi Yagi
s3473,Rugrats in Paris: The Movie,Movie,Stig Bergqvist
s3835,The Great Magician,Movie,Yee Tung-Shing
s3919,Shortcut Safari,Movie,Amitabha Singh
s4097,Studio 54,Movie,Matt Tyrnauer
s4182,Patria,Movie,Matías Gueilburt
s4826,Lust Stories,Movie,Zoya Akhtar
s5075,Bad Day for the Cut,Movie,Chris Baugh
s5639,Very Big Shot,Movie,Mir-Jean Bou Chaaya
s5840,Sofía Niño de Rivera: Exposed,Movie,Jan Suter
s6024,68 Kill,Movie,Trent Haaga
s6085,Across The Line,Movie,Julien Christian Lutz
s6187,Arthur Christmas,Movie,Sarah Smith
s6396,Butterfield 8,Movie,Daniel Mann
s6430,Casino Tycoon 2,Movie,Wong Jing
s6616,Discovering Bigfoot,Movie,Todd Standing
s6843,Get Smart,Movie,Peter Segal
s6870,Goldstone,Movie,Ivan Sen
s6932,Harriet the Spy: Blog Wars,Movie,Ron Oliver
s7157,K-19: The Widowmaker,Movie,Kathryn Bigelow
s7438,Melle,Movie,Binu Ulahhannan
s7516,Movie 43,Movie,Steve Brill
s7528,Murder Party,Movie,Jeremy Saulnier
s7744,Pioneers of African-American Cinema,TV Show,Oscar Micheaux
s306,Tango Feroz,Movie,Marcelo Piñeyro
s316,Ije: The Journey,Movie,Chineze Anyaene
s576,Life as We Know It,Movie,Greg Berlanti
s1259,Bigfoot Family,Movie,Ben Stassen
s1655,Before 30,TV Show,BB Sasore
s1960,Enola Holmes,Movie,Harry Bradbeer
s2095,Lingua Franca,Movie,Isabel Sandoval
s2209,Dragons: Rescue Riders: Secrets of the Songwing,Movie,Greg Rankin
s2262,Jim Jefferies: Intolerant,Movie,Scott Zabielski
s2729,Humpty Sharma Ki Dulhania,Movie,Shashank Khaitan
s3300,U Turn,Movie,Pawan Kumar
s3874,Munafik 2,Movie,Syamsul Yusof
s4000,Amy Schumer Growing,Movie,Amy Schumer
s4610,Tiger,Movie,Sartaj Singh Pannu
s4898,Pocoyo Special Sports,Movie,David Cantolla
s5080,Alibaba Aur 40 Chor,Movie,Umesh Mehra
s5308,Resurface,Movie,Josh Izenberg
s5451,How to Stage a Coup,Movie,Cal Seville
s5464,Smoke & Mirrors,Movie,Alberto Rodríguez
s5853,Hush,Movie,Mike Flanagan
s7028,Hunter's Prayer,Movie,Jonathan Mostow
s7533,My Brother ... Nikhil,Movie,Onir
s8117,Suite Française,Movie,Saul Dibb
s8186,The Aerial,Movie,Esteban Sapir
s8214,The Bleeder,Movie,Philippe Falardeau
s330,Catch Me If You Can,Movie,Steven Spielberg
s409,Chhota Bheem & Krishna: Mayanagari,Movie,Rajiv Chilaka
s416,Chhota Bheem aur Krishna,Movie,Rajiv Chilaka
s740,Wish Dragon,Movie,Chris Appelhans
s841,Baggio: The Divine Ponytail,Movie,Letizia Lamartire
s896,Oxygen,Movie,Alexandre Aja
s1100,The Fisherman's Diary,Movie,Enah Johnscott
s1368,Hell Fest,Movie,Gregory Plotkin
s1795,The Devil Punisher,TV Show,Chen Rong-hui
s2836,Miles Davis: Birth of the Cool,Movie,Stanley Nelson
s2957,Chronically Metropolitan,Movie,Xavier Manrique
s2963,Miraculous: Tales of Ladybug & Cat Noir,TV Show,Thomas Astruc
s3099,Fireworks,Movie,Akiyuki Shinbo
s3137,Game,Movie,Abhinay Deo
s3309,Tune in for Love,Movie,Jung Ji-woo
s3704,El testigo,Movie,Kate Horne
s3917,Rainbow Jelly,Movie,Soukarya Ghosal
s4396,Savita Damodar Paranjpe,Movie,Swapna Waghmare Joshi
s4728,I Hate Luv Storys,Movie,Punit Malhotra
s4878,End Game,Movie,Rob Epstein
s5002,Malena Pichot: Estupidez compleja,Movie,Jan Suter
s5428,What the Health,Movie,Keegan Kuhn
s5462,Prince,Movie,Lekh Tandon
s5496,Simplemente Manu NNa,Movie,Raúl Campos
s5582,The Butterfly's Dream,Movie,Yılmaz Erdoğan
s5832,Tony Robbins: I Am Not Your Guru,Movie,Joe Berlinger
s5945,Hard Lessons,Movie,Eric Laneuville
s5952,Unspeakable Acts,Movie,Linda Otto
s6040,A Haunted House,Movie,Michael Tiddes
s6086,Across the Universe,Movie,Julie Taymor
s6207,Bachelor Girls,Movie,Shikha Makan
s6227,Band of Robbers,Movie,Aaron Nee
s6868,Goldie,Movie,Sam de Jong
s7375,Madre,Movie,Aaron Burns
s7430,Me and the Alien,Movie,Jesús Magaña Vázquez
s7470,Miss Sharon Jones!,Movie,Barbara Kopple
s8240,The Case for Christ,Movie,Jon Gunn
s8466,The Prince & Me,Movie,Martha Coolidge
s42,Jaws,Movie,Steven Spielberg
s638,Ray,TV Show,Srijit Mukherji
s767,Alan Saldaña: Locked Up,Movie,Alex Díaz
s866,Sabotage,Movie,David Ayer
s916,And Tomorrow the Entire World,Movie,Julia von Heinz
s983,Hayat Öpücügü,Movie,Şenol Sönmez
s1024,Ajeeb Daastaans,Movie,Kayoze Irani
s1107,Cross: Rise of the Villains,Movie,Patrick Durham
s1262,Fuga,Movie,Pablo Larraín
s1413,Wish You,Movie,Sung Do-jun
s1451,Eddie Murphy: Raw,Movie,Robert Townsend
s1645,Fantastica,Movie,Barry Gonzalez
s1947,Welcome,Movie,Anees Bazmee
s2503,Escaping Tel Aviv,Movie,Sherif Arafa
s2673,Sergio,Movie,Greg Barker
s2860,Frank & Lola,Movie,Matthew Ross
s3303,Shadow,Movie,Zhang Yimou
s4758,The Warning,Movie,Daniel Calparsoro
s5041,Love Per Square Foot,Movie,Anand Tiwari
s5152,Poster Boys,Movie,Shreyas Talpade
s5619,Haraamkhor,Movie,Shlok Sharma
s5665,3 Türken & ein Baby,Movie,Sinan Akkuş
s5679,Ricardo O'Farrill: Abrazo navideño,Movie,Jan Suter
s5816,Jim Gaffigan: Beyond the Pale,Movie,Michael Drumm
s5902,Tig,Movie,Kristina Goolsby
s5911,Hot Girls Wanted,Movie,Ronna Gradus
s6184,Are We Done Yet?,Movie,Khaled El Halafawy
s6278,Beiimaan Love,Movie,Rajeev Chaudhari
s6290,Bewafaa,Movie,Dharmesh Darshan
s6325,Black Man White Skin,Movie,Jose Manuel Colón
s6349,Bob's Broken Sleigh,Movie,Jay Surridge
s6465,Chhota Bheem Kungfu Dhamaka,Movie,Binayak Das
s6590,Defying the Nazis: The Sharps' War,Movie,Artemis Joukowsky
s6755,Final Destination 2,Movie,David R. Ellis
s7260,Laal Rang,Movie,Syed Ahmad Afzal
