show_id,type,title,release_year,rating,director
s1,Movie,Dick Johnson Is Dead,2020,PG-13,Kirsten Johnson
s2,TV Show,Blood & Water,2021,TV-MA,Unknown
s3,TV Show,Ganglands,2021,TV-MA,Julien Leclercq
s4,TV Show,Jailbirds New Orleans,2021,TV-MA,Unknown
s5,TV Show,Kota Factory,2021,TV-MA,Unknown
s6,TV Show,Midnight Mass,2021,TV-MA,Mike Flanagan
s7,Movie,My Little Pony: A New Generation,2021,PG,"Robert Cullen, José Luis Ucha"
s8,Movie,Sankofa,1993,TV-MA,Haile Gerima
s9,TV Show,The Great British Baking Show,2021,TV-14,Andy Devonshire
s10,Movie,The Starling,2021,PG-13,Theodore Melfi
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",2021,TV-MA,Unknown
s12,TV Show,Bangkok Breaking,2021,TV-MA,Kongkiat Komesiri
s13,Movie,Je Suis Karl,2021,TV-MA,Christian Schwochow
s14,Movie,Confessions of an Invisible Girl,2021,TV-PG,Bruno Garotti
s15,TV Show,Crime Stories: India Detectives,2021,TV-MA,Unknown
s16,TV Show,Dear White People,2021,TV-MA,Unknown
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,TV-MA,"Pedro de Echave García, Pablo Azorín Williams"
s18,TV Show,Falsa identidad,2020,TV-MA,Unknown
s19,Movie,Intrusion,2021,TV-14,Adam Salky
s20,TV Show,Jaguar,2021,TV-MA,Unknown
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,TV-14,Olivier Megaton
s22,TV Show,Resurrection: Ertugrul,2018,TV-14,Unknown
s23,Movie,Avvai Shanmughi,1996,TV-PG,K.S. Ravikumar
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,TV-Y,"Alex Woo, Stanley Moore"
s25,Movie,Jeans,1998,TV-14,S. Shankar
s26,TV Show,Love on the Spectrum,2021,TV-14,Unknown
s27,Movie,Minsara Kanavu,1997,TV-PG,Rajiv Menon
s28,Movie,Grown Ups,2010,PG-13,Dennis Dugan
s29,Movie,Dark Skies,2013,PG-13,Scott Stewart
s30,Movie,Paranoia,2013,PG-13,Robert Luketic
s31,Movie,Ankahi Kahaniya,2021,TV-14,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary"
s32,TV Show,Chicago Party Aunt,2021,TV-MA,Unknown
s33,TV Show,Sex Education,2020,TV-MA,Unknown
s34,TV Show,Squid Game,2021,TV-MA,Unknown
s35,TV Show,Tayo and Little Wizards,2020,TV-Y7,Unknown
s36,Movie,The Father Who Moves Mountains,2021,TV-MA,Daniel Sandu
s37,Movie,The Stronghold,2021,TV-MA,Cédric Jimenez
s38,TV Show,Angry Birds,2018,TV-Y7,Unknown
s39,Movie,Birth of the Dragon,2017,PG-13,George Nolfi
s40,TV Show,Chhota Bheem,2021,TV-Y7,Unknown
s41,TV Show,He-Man and the Masters of the Universe,2021,TV-Y7,Unknown
s42,Movie,Jaws,1975,PG,Steven Spielberg
s43,Movie,Jaws 2,1978,PG,Jeannot Szwarc
s44,Movie,Jaws 3,1983,PG,Joe Alves
s45,Movie,Jaws: The Revenge,1987,PG-13,Joseph Sargent
s46,Movie,My Heroes Were Cowboys,2021,PG,Tyler Greco
s47,Movie,Safe House,2012,R,Daniel Espinosa
s48,TV Show,The Smart Money Woman,2020,TV-MA,Bunmi Ajakaiye
s49,Movie,Training Day,2001,R,Antoine Fuqua
s50,TV Show,Castle and Castle,2021,TV-MA,Unknown
s51,TV Show,Dharmakshetra,2014,TV-PG,Unknown
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,TV-14,Toshiya Shinohara
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,TV-14,Toshiya Shinohara
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,2004,TV-PG,Toshiya Shinohara
s55,Movie,InuYasha the Movie: Affections Touching Across Time,2001,TV-PG,Toshiya Shinohara
s56,TV Show,Nailed It,2021,TV-PG,Unknown
s57,Movie,Naruto Shippuden the Movie: Blood Prison,2011,TV-14,Masahiko Murata
s58,Movie,Naruto Shippûden the Movie: Bonds,2008,TV-PG,Hajime Kamegaki
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,2009,TV-PG,Masahiko Murata
s60,Movie,Naruto Shippuden: The Movie,2007,TV-PG,Hajime Kamegaki
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,2010,TV-14,Masahiko Murata
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,2005,TV-PG,Hirotsugu Kawasaki
